article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,no,,not reported,high,information not found in text
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,no,,not reported,high,information not found in text
190638871,Transition to the Cloud: A Vendor Perspective,no,,not reported,high,information not found in text
190638976,Managing a Software Business,no,,not reported,high,information not found in text
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,no,,not reported,high,information not found in text
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Apple App Store,Yes,high,"Page 5, Section 3.2: 'The Apple App provides an environment where paid and free apps coexist, competing with each other for the same user resources and attention' | '45 app firms with freemium business models were selected in the top 500 free apps charts of the App Store' | Page 1: 'the share of freemium apps on the Apple App Store'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,,"Yes - AWS, Azure",high,"Page 6, Associates: 'Adobe entered into long-term agreements and partnerships with Amazon for AWS and Microsoft for Azure and other cloud-based services.'"
190653589,Navigating the paradox of global scaling,no,,not reported,high,information not found in text
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Apple App Store,Yes - App Store,high,Page 54: 'We use a comprehensive data set on game apps from Apple's App Store'
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Apple App Store;Google Play Store,Yes,medium,"Page 1: 'By Store Type (Google Store, Apple Store, Others)' and references to app distribution through mobile app stores"
190653772,Current practices and emerging trends of transit apps for fixed-route bus services in the US,yes,Apple App Store;Google Play Store,"Yes - Apple Store, Google Play",high,Page 2: 'app received more ratings than the median level on Apple Store or Google Play' | Page 3: 'most of them (N=114 out of 119) were available for both iOS and Android systems'
190653856,Stuck Inside a Cloud: Do SaaS business models require a rethink of the traditional approach to public market valuation?,no,,not reported,high,information not found in text
190653872,Managing Software-as-a-Service: Pricing and operations,yes,AWS Marketplace;Azure Marketplace;Google Cloud Marketplace;Atlassian Marketplace;Salesforce AppExchange,"Yes. AWS Marketplace, Azure Marketplace, Google Cloud Marketplace, Salesforce platform, Atlassian Marketplace.",high,"Page 8, lines 752-753: 'once trained, it is hosted on Amazon Web Services (AWS) for clients' | Page 9, lines 869-870: 'In 2019, ServiceNow housed its SaaS on Microsoft Azure' | Page 13, lines 1197-1198: 'more than 540 million records about Facebook users were publicly leaked on AWS' | Page 17, lines 1662-1666: 'Dropbox integrates with many platforms including Salesforce and SAP. As another example, Boomi's AtomShere product invests in technical capabilities to interoperate with Salesforce, SAP, and Taleo'"
190653882,"Converting free users to paid subscribers in the SaaS context: The impact of marketing touchpoints, message content, and usage",yes,,No,high,information not found in text
190653942,Optimal distinctiveness across revenue models: Performance effects of differentiation of paid and free products in a mobile app market,yes,Apple App Store,Yes - Apple App Store,high,Page 12: 'We tested our hypotheses in a sample of mobile apps from the U.S. market of Apple's iOS App Store' | Page 1: 'We study this question in the Apple App Store'
